sample_id	CHROMOSOME	Arm	GAIN	LOSS	LOH
F16001097	3	q	1	1	2
F16001097	4	q	0	4	2
F16001097	5	q	0	6	5
F16001097	6	q	1	9	4
F16001097	7	q	6	7	11
F16001097	8	q	17	0	7
F16001097	9	q	5	1	7
F16001097	10	q	7	14	0
F16001097	11	q	0	4	3
F16001097	12	q	8	2	0
F16001097	13	q	0	17	3
F16001097	14	q	6	3	4
F16001097	15	q	5	5	18
F16001097	16	q	43	6	0
F16001097	17	q	4	13	0
F16001097	18	q	4	6	10
F16001097	19	q	0	40	0
F16001097	20	q	1	13	0
F16001097	21	q	15	9	0
F16001097	22	q	0	10	0
F16001097	Y	q	0	0	0
F16001097	X	q	0	0	0
F16001438	1	p	0	0	7
F16001438	2	p	0	0	4
F16001438	3	p	0	0	0
F16001438	4	p	11	0	0
F16001438	5	p	0	0	0
F16001438	6	p	0	4	8
F16001438	7	p	0	0	0
F16001438	8	p	0	0	0
F16001438	9	p	0	30	0
F16001438	10	p	0	4	0
F16001438	11	p	2	0	5
F16001438	12	p	1	0	0
F16001438	16	p	75	0	9
F16001438	17	p	0	0	0
F16001438	18	p	0	0	0
F16001438	19	p	0	1	0
F16001438	20	p	0	0	0
F16001438	21	p	0	0	0
F16001438	Y	p	0	0	0
F16001438	X	p	4	0	0
F16001438	1	q	0	11	0
F16001438	2	q	0	0	4
F16001438	3	q	0	0	0
F16001438	4	q	0	0	0
F16001438	5	q	0	3	3
F16001438	6	q	0	7	7
F16001438	7	q	0	0	0
F16001438	8	q	15	0	2
F16001438	9	q	6	0	0
F16001438	10	q	0	0	11
F16001438	11	q	0	1	0
F16001438	12	q	0	0	0
F16001438	13	q	0	1	0
F16001438	14	q	0	1	0
F16001438	15	q	2	3	0
F16001438	16	q	0	0	0
F16001438	17	q	0	2	5
F16001438	18	q	0	0	0
F16001438	19	q	0	0	0
F16001438	20	q	4	0	0
F16001438	21	q	2	1	0
F16001438	22	q	1	9	0
F16001438	Y	q	0	0	0
F16001438	X	q	0	2	9
F16001657	1	p	0	0	0
F16001657	2	p	0	0	0
F16001657	3	p	0	0	0
F16001657	4	p	0	0	0
F16001657	5	p	0	0	0
F16001657	6	p	0	0	7
F16001657	7	p	0	0	0
F16001657	8	p	20	0	0
F16001657	9	p	0	0	0
F16001657	10	p	0	0	0
F16001657	11	p	0	0	0
F16001657	12	p	99	0	0
F16001657	16	p	0	0	0
F16001657	17	p	0	0	0
F16001657	18	p	0	0	0
F16001657	19	p	0	1	0
F16001657	20	p	0	0	0
F16001657	21	p	0	0	0
F16001657	Y	p	0	0	0
F16001657	X	p	0	0	0
F16001657	1	q	0	0	0
F16001657	2	q	0	0	0
F16001657	3	q	0	0	0
F16001657	4	q	0	0	0
F16001657	5	q	0	0	0
F16001657	6	q	0	0	0
F16001657	7	q	0	0	0
F16001657	8	q	0	0	2
F16001657	9	q	0	0	0
F16001657	10	q	0	0	0
F16001657	11	q	0	0	0
F16001657	12	q	99	0	0
F16001657	13	q	0	0	0
F16001657	14	q	0	0	0
F16001657	15	q	0	3	0
F16001657	16	q	2	0	0
F16001657	17	q	0	0	0
F16001657	18	q	0	0	0
F16001657	19	q	1	0	0
F16001657	20	q	0	0	0
F16001657	21	q	0	0	0
F16001657	22	q	0	0	0
F16001657	Y	q	2	0	0
F16001657	X	q	0	0	0
F16001752	1	p	0	0	0
F16001752	2	p	0	0	0
F16001752	3	p	0	0	0
F16001752	4	p	0	0	0
F16001752	5	p	0	0	0
F16001752	6	p	0	3	0
F16001752	7	p	0	1	0
F16001752	8	p	0	0	0
F16001752	9	p	0	0	0
F16001752	10	p	0	0	0
F16001752	11	p	0	0	0
F16001752	12	p	0	0	0
F16001752	16	p	0	5	9
F16001752	17	p	0	8	0
F16001752	18	p	0	0	0
F16001752	19	p	0	0	0
F16001752	20	p	0	0	0
F16001752	21	p	0	0	0
F16001752	Y	p	0	0	0
F16001752	X	p	0	0	0
F16001752	1	q	0	0	0
F16001752	2	q	0	0	1
F16001752	3	q	0	0	0
F16001752	4	q	0	0	0
F16001752	5	q	0	1	2
F16001752	6	q	0	0	0
F16001752	7	q	7	0	3
F16001752	8	q	0	0	0
F16001752	9	q	0	0	0
F16001752	10	q	0	4	0
F16001752	11	q	0	6	0
